tokenNumber,text,source,field,qualityScore,needsReview,tags,imagePath
6684,TAKE ALL YOUR MONEY OUT OF THE BANK,metadata,background,14,False,npc-bark;surreal-prop;metadata-trait,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HUWbD8AvQf8WEEnYAMQQheyETvJhLNcws32NqmZUmDuc/image.png
7041,TAKE ALL YOUR MONEY OUT OF THE BANK,metadata,background,14,False,npc-bark;surreal-prop;metadata-trait,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HWCrGKyXkURrG6sqeJtnWeGC5Jk2enFpG2VkVA4pZukD/image.png
8333,TAKE ALL YOUR MONEY OUT OF THE BANK,metadata,background,14,False,npc-bark;surreal-prop;metadata-trait,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HcS1VNfA6QmYSyQ8fRsr5Fo8ycsjhctMHvJMLTrugfQm/image.png
5778,TAKE ALL YOUR MONEY OUT OF THE BANK,metadata,background,14,False,npc-bark;surreal-prop;metadata-trait,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/Hjhfup2njgUTaEm6X7zGoZp45JZyi1D53S1ZE7tp94fZ/image.png
3517,TAKE ALL YOUR MONEY OUT OF THE BANK,metadata,background,14,False,npc-bark;surreal-prop;metadata-trait,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/Hz5TyiEuRDZGuuxbbJYMAmmQtoYv6Yb4PLswq8nsWSLL/image.png
792,earl chart painting in my living room,metadata,background,12,False,metadata-trait,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HftDKuqbFfjCp1ha69bj6w1jut1Z1WhH2FRDtSB8uxcu/image.png
6274,earl chart painting in my living room,metadata,background,12,False,metadata-trait,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HfwCFNVDPZrgvbwkkV47PTyTD2gc7xH1De9fQbSC68kx/image.png
8603,earl chart painting in my living room,metadata,background,12,False,metadata-trait,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HpGb14JuhD4jAW7mB8kEGMKDUjKBhaPNq3aGPqq2GvB3/image.png
1253,his ass is not a software engineer,metadata,overlay,12,False,npc-bark;metadata-trait,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HSS5St8udAymQWg9GfnuqQXQnSs27bAqVPQFM5grZSBV/image.png
1868,his ass is not a software engineer,metadata,overlay,12,False,npc-bark;metadata-trait,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HvH1Ap4E2MKn6TkVrModQ9jJ6Lvi2wcwf4KiFhuZae7h/image.png
