tokenNumber,name,field,phrase,raw,textScore,imagePath,imageUrl
7677,drifella 2 #7677,background,bacon sketch,bacon sketch,5,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKQprpr1itEGpQLdcQS9S1EZpRzCN3ZbVBHH1kWhdAZV/image.png,https://nftstorage.link/ipfs/bafybeigclnbbvekd32a3cnvic2e5xffcbat6nxzqdneilip7k3rvqqbpba/7677.png
7677,drifella 2 #7677,cloth,clear raincoat,clear raincoat,5,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKQprpr1itEGpQLdcQS9S1EZpRzCN3ZbVBHH1kWhdAZV/image.png,https://nftstorage.link/ipfs/bafybeigclnbbvekd32a3cnvic2e5xffcbat6nxzqdneilip7k3rvqqbpba/7677.png
7677,drifella 2 #7677,head,donda shades,donda shades,5,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKQprpr1itEGpQLdcQS9S1EZpRzCN3ZbVBHH1kWhdAZV/image.png,https://nftstorage.link/ipfs/bafybeigclnbbvekd32a3cnvic2e5xffcbat6nxzqdneilip7k3rvqqbpba/7677.png
7677,drifella 2 #7677,left_hand,dark magician aura sword,dark magician aura sword,5,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKQprpr1itEGpQLdcQS9S1EZpRzCN3ZbVBHH1kWhdAZV/image.png,https://nftstorage.link/ipfs/bafybeigclnbbvekd32a3cnvic2e5xffcbat6nxzqdneilip7k3rvqqbpba/7677.png
7677,drifella 2 #7677,overlay,comic shroud,comic shroud$1,5,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKQprpr1itEGpQLdcQS9S1EZpRzCN3ZbVBHH1kWhdAZV/image.png,https://nftstorage.link/ipfs/bafybeigclnbbvekd32a3cnvic2e5xffcbat6nxzqdneilip7k3rvqqbpba/7677.png
7677,drifella 2 #7677,right_hand,fortnite nerf gun,fortnite nerf gun,5,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKQprpr1itEGpQLdcQS9S1EZpRzCN3ZbVBHH1kWhdAZV/image.png,https://nftstorage.link/ipfs/bafybeigclnbbvekd32a3cnvic2e5xffcbat6nxzqdneilip7k3rvqqbpba/7677.png
7677,drifella 2 #7677,mouth,big joint,big joint,3,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKQprpr1itEGpQLdcQS9S1EZpRzCN3ZbVBHH1kWhdAZV/image.png,https://nftstorage.link/ipfs/bafybeigclnbbvekd32a3cnvic2e5xffcbat6nxzqdneilip7k3rvqqbpba/7677.png
194,drifella 2 #194,overlay,wake up we gotta turn the power on,wake up we gotta turn the power on$1,8,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKTmvJphbLqxyEKWTy9czCnVizjTuX6LQDCa6U9F9b8N/image.png,https://nftstorage.link/ipfs/bafybeiblqrzkki47npwu7vn5czqxyfhpi6akvgi64uek245xlta4jn2oc4/194.png
194,drifella 2 #194,background,snowy graveyard,snowy graveyard,5,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKTmvJphbLqxyEKWTy9czCnVizjTuX6LQDCa6U9F9b8N/image.png,https://nftstorage.link/ipfs/bafybeiblqrzkki47npwu7vn5czqxyfhpi6akvgi64uek245xlta4jn2oc4/194.png
194,drifella 2 #194,cloth,wow zip hoodie,wow zip hoodie,5,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKTmvJphbLqxyEKWTy9czCnVizjTuX6LQDCa6U9F9b8N/image.png,https://nftstorage.link/ipfs/bafybeiblqrzkki47npwu7vn5czqxyfhpi6akvgi64uek245xlta4jn2oc4/194.png
