phrase,count,fields
noise1,500,noise
seethe,21,mouth;eyes
beat n bruised,19,eyes
squinting,18,eyes
wet,17,cloth
ye,16,cloth;mouth
astro boy,16,eyes
sleppy,16,eyes
flail,15,right_hand
lax,15,mouth;eyes
buttons,14,eyes
nikolai fechin glasses,14,eyes
mimany nutmugs_,14,eyes
cartoon,14,eyes
drained,13,cloth;mouth
spider,13,mouth
dead,13,eyes
mangekyo sharingan left bleed,13,eyes
wao wao,13,eyes
fang red,12,eyes
bloodshot tv hearts,12,eyes
blue tears,12,eyes
gonna die,12,eyes
sanic,12,mouth;eyes
crying,12,eyes
snoot bubble,12,mouth
ryuk,11,body;mouth
beauty,11,eyes
silver hand shades,11,eyes
moneys,11,eyes
griffith smile,10,mouth
angry,10,eyes
scarlet eyes,10,eyes
bored,10,eyes
bomb,10,left_hand;overlay
white swirl,10,eyes
3 eye,10,eyes
kid buu,10,mouth;eyes
evil pepe with cigar,10,mouth
fuzzy nose,10,nose
bandage,10,nose
mini venom mouth,10,mouth
mangekyo sharingan right bleed,10,eyes
guns,10,overlay;background_plus
spiky shades,10,eyes
big joint,9,mouth
piss stained goblin shirt,9,cloth
deflated,9,eyes
dratini,9,background;left_hand
demonbat,9,mouth
pregnant milady,9,background_plus
rainbow,9,mouth
marker pixel orange,9,body
sans,9,background_plus
jokermad,9,eyes
zerpy,9,eyes
gray sketch,9,body
go go ackman,9,mouth
red painting,9,body;left_hand
ghastly,9,mouth
wake up we gotta turn the power on,8,overlay
lean beef patty,8,cloth
blazed,8,eyes
evil prof oak shirt,8,cloth
pepe yell,8,mouth
ghaslty,8,eyes
blue wolf,8,right_hand
backwards pill cyber jac,8,cloth
ghost,8,body;mouth
cat open,8,mouth
warzone,8,body
junko wojak,8,mouth
tank girl smoking,8,mouth
life would be much easier,8,overlay
biting lip,8,mouth
shiny grill,8,mouth
spiral,8,eyes
girls heart my swag,8,cloth;overlay
mad,8,mouth;eyes
plush denim,8,body
duck camo,8,cloth
