assetId,tokenNumber,name,field,phrase,imagePath,source
HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv,5580,drifella 2 #5580,1background,condo sketch,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv/image.png,metadata
HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv,5580,drifella 2 #5580,3drifellabody,woods,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv/image.png,metadata
HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv,5580,drifella 2 #5580,5cloth,superman,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv/image.png,metadata
HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv,5580,drifella 2 #5580,7mouth,grimer,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv/image.png,metadata
HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv,5580,drifella 2 #5580,9eyes,cartoon,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv/image.png,metadata
HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv,5580,drifella 2 #5580,91head,jason mask,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv/image.png,metadata
HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv,5580,drifella 2 #5580,92left,boxing gloves,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv/image.png,metadata
HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv,5580,drifella 2 #5580,94overlay,rhino dick pill,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HHwrkHmeTZHhCNwiL3ztaEd8pSasaGWhk5QERJ7iMBsv/image.png,metadata
HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP,7492,drifella 2 #7492,1background,ditto sweets,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP/image.png,metadata
HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP,7492,drifella 2 #7492,3drifellabody,carnage sketch,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP/image.png,metadata
HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP,7492,drifella 2 #7492,5cloth,trader retard,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP/image.png,metadata
HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP,7492,drifella 2 #7492,7mouth,drool,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP/image.png,metadata
HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP,7492,drifella 2 #7492,9eyes,sleppy,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP/image.png,metadata
HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP,7492,drifella 2 #7492,91head,batman cowl,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP/image.png,metadata
HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP,7492,drifella 2 #7492,93right,shoot myself,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP/image.png,metadata
HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP,7492,drifella 2 #7492,94overlay,bacon splash brush,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HH8gyRa3cSEtDeSAtGs8VS1x1Zd6HaCxZwDpG2sTdAbP/image.png,metadata
HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6,1284,drifella 2 #1284,1background,alien set,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6/image.png,metadata
HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6,1284,drifella 2 #1284,3drifellabody,meyomme ghostface,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6/image.png,metadata
HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6,1284,drifella 2 #1284,5cloth,college dropout,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6/image.png,metadata
HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6,1284,drifella 2 #1284,7mouth,joker smile,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6/image.png,metadata
HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6,1284,drifella 2 #1284,9eyes,ghost angry,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6/image.png,metadata
HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6,1284,drifella 2 #1284,91head,ny cap,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6/image.png,metadata
HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6,1284,drifella 2 #1284,92left,vlone stanley cup,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6/image.png,metadata
HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6,1284,drifella 2 #1284,93right,robot dog,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6/image.png,metadata
HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6,1284,drifella 2 #1284,94overlay,the code,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HK1yC6isC5KFY9b5jKWiZntpZmoVgxPJ6LwpxQoe2Go6/image.png,metadata
HJtPTNmLtGusgg6jv4wbz1SuDfiS8dExPtCa3P5s3t6G,2126,drifella 2 #2126,1background,knight in museum,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HJtPTNmLtGusgg6jv4wbz1SuDfiS8dExPtCa3P5s3t6G/image.png,metadata
HJtPTNmLtGusgg6jv4wbz1SuDfiS8dExPtCa3P5s3t6G,2126,drifella 2 #2126,3drifellabody,dmg,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HJtPTNmLtGusgg6jv4wbz1SuDfiS8dExPtCa3P5s3t6G/image.png,metadata
HJtPTNmLtGusgg6jv4wbz1SuDfiS8dExPtCa3P5s3t6G,2126,drifella 2 #2126,5cloth,hoodie arms up,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HJtPTNmLtGusgg6jv4wbz1SuDfiS8dExPtCa3P5s3t6G/image.png,metadata
HJtPTNmLtGusgg6jv4wbz1SuDfiS8dExPtCa3P5s3t6G,2126,drifella 2 #2126,7mouth,teeth,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HJtPTNmLtGusgg6jv4wbz1SuDfiS8dExPtCa3P5s3t6G/image.png,metadata
HJtPTNmLtGusgg6jv4wbz1SuDfiS8dExPtCa3P5s3t6G,2126,drifella 2 #2126,9eyes,blue tears,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HJtPTNmLtGusgg6jv4wbz1SuDfiS8dExPtCa3P5s3t6G/image.png,metadata
