phrase,voice,length,cursed,vibes,score,total_count,field_count
girls heart my swag,first_person,medium,,nft|swag,10,157,2
honor thy father bloody shirt,imperative,medium,,religion|swag,10,100,1
i feel like dying hat,first_person,medium,,swag|doomer,10,61,1
shoot up the party,imperative,medium,,vidya|gun,10,48,1
kill you red puffer,imperative,medium,,swag,9,122,1
me and her joint,first_person,medium,,pharma,9,100,1
someone with autism stole my wallet heart,first_person,medium,,nft,9,89,1
kill all solana nfts,imperative,medium,,nft,9,84,1
my call of duty,first_person,medium,,vidya,9,69,1
who needs brain cells when you have swag,interrogative,medium,,nft|swag,9,67,1
i wake up i engage in tomfoolery,first_person,medium,,ironic,9,56,1
i like getting my boot hole licked by nft monkeys,first_person,long,,nft,9,48,1
black ops on my tv,first_person,medium,,vidya,9,47,1
I SPEND MONEY LIKE ITS COD ZOMBIES,first_person,medium,,vidya,9,45,1
leather demon bat hat,declarative,medium,,religion|swag,8,67,1
dont give me orders,imperative,medium,,,8,66,1
youre in her dms im letting greed corrupt me,first_person,long,,,8,66,1
remember who you are fighting for,imperative,medium,,,8,62,1
my girant isopod phone case,first_person,medium,,,8,60,1
thank you lord for this here perc 30,declarative,medium,,pharma|religion,8,60,1
wake up we gotta turn the power on,imperative,medium,,,8,60,1
wow it is literally me meme,first_person,medium,,,8,57,1
be ready to fight the horde,imperative,medium,,,8,56,1
i can sleep anywhere,first_person,medium,,,8,56,1
i have two sides,first_person,medium,,,8,54,1
anime tax fraud hat,declarative,medium,,swag|anime,8,53,1
earl chart painting in my living room,first_person,medium,,,8,52,1
house party  nearby im bringing weird guys,first_person,medium,,,8,51,1
i am rooting for you,first_person,medium,,,8,51,1
how to catch a milk thief,interrogative,medium,,food,8,49,1
she want me cuz im normal,first_person,medium,,,8,48,1
yall dont fuck with music like i do,first_person,medium,,,8,47,1
me gay chair v5,first_person,medium,,,8,46,1
this shit laced im tweakkinn ahhhhhh,first_person,medium,,,8,43,1
TAKE ALL YOUR MONEY OUT OF THE BANK,imperative,medium,,,8,42,1
this picture broke my heart,first_person,medium,,,8,40,1
piss stained goblin shirt,declarative,medium,,swag,7,127,1
backwards pill cyber jac,declarative,medium,,pharma,7,112,1
bape mape zip up,declarative,medium,,swag,7,111,1
bullet bill spike teeth,declarative,medium,,gun,7,110,1
cdg camo heart tee,declarative,medium,,swag,7,109,1
evil prof oak shirt,declarative,medium,,swag,7,108,1
yugi and joey shirt,declarative,medium,,swag,7,106,1
buying a t shirt,declarative,medium,,swag,7,99,1
vivienne westwood gem jacket,declarative,medium,,swag,7,99,1
akira black and gray,declarative,medium,,anime,7,97,1
golden spiky demon grill,declarative,medium,,religion,7,94,1
community rpg shoutsout community,declarative,medium,,vidya,7,87,1
shoot,imperative,short,,vidya|gun,7,75,1
shoot myself,imperative,short,,vidya|gun,7,75,1
white gloves with gun,declarative,medium,,gun,7,72,1
jesus vhs 911 edition,declarative,medium,,religion,7,62,1
black ops 2 speech bubble,declarative,medium,,vidya,7,60,1
ceramic chambered mifella heart,declarative,medium,,milady,7,59,1
ghost and anime girl,declarative,medium,,anime,7,59,1
mewtwo in red circle,declarative,medium,,vidya,7,59,1
rip avant nft wave,declarative,medium,,nft,7,59,1
born to drain mud is a fuck,declarative,medium,,nft,7,58,1
sony hat princess diana,declarative,medium,,swag,7,57,1
gengar pinball sprite sheet,declarative,medium,,vidya,7,53,1
the life of drifella,declarative,medium,,lore,7,51,1
btc fear greed index,declarative,medium,,nft,7,49,1
no love deep web,declarative,medium,,doomer,7,47,1
spiky yung lean bladee,declarative,medium,,pharma,7,47,1
praying to your flight god,declarative,medium,,religion,7,45,1
shadow wizard in hotel,declarative,medium,,vidya,7,45,1
dratini line sprite sheets,declarative,medium,,vidya,7,42,1
white house mcdonalds order,declarative,medium,,milady,7,41,1
mangekyo sharingan left bleed,declarative,medium,,,6,203,1
mangekyo sharingan right bleed,declarative,medium,,,6,186,1
evil pepe with cigar,declarative,medium,,,6,124,1
be different hoodie,imperative,short,,swag,6,111,1
chris chan rugby longsleeve,declarative,medium,,,6,108,1
dont care shirt,imperative,short,,swag,6,104,1
devil world raf simmons,declarative,medium,,,6,101,1
raf simmons virginia creeper,declarative,medium,,,6,100,1
mouth with cig yo,declarative,medium,,,6,95,1
silent hill 2 zip,declarative,medium,,,6,95,1
thrashed vtg nature sweater,declarative,medium,,,6,95,1
pissed cartman no respect,declarative,medium,,,6,93,1
im gay tee,first_person,short,,swag,6,92,1
baby gray blood sketch,declarative,medium,,,6,79,1
red pinnk white sketch,declarative,medium,,,6,69,1
abstract night cat sketch,declarative,medium,,,6,67,1
dark magician aura sword,declarative,medium,,,6,67,1
life would be much easier,declarative,medium,,,6,66,1
marker pixel bastard 2,declarative,medium,,,6,65,1
officer peaked another soviet comrade,declarative,medium,,,6,65,1
thick goth lola bunny,declarative,medium,,,6,65,1
the fool rock negative,declarative,medium,,,6,64,1
toon blue eyes white dragon,declarative,medium,,,6,64,1
marker pixel pink yellow,declarative,medium,,,6,62,1
you cant beat a man that battles with himself every day,declarative,long,,,6,60,1
im in love with my gf dont talk to me she has a nuclear bomb,first_person,long,,,6,59,1
this doesnt bode well,declarative,medium,,,6,59,1
touching grass isnt enough,declarative,medium,,,6,59,1
cannot use this item offline,declarative,medium,,,6,58,1
dark magician spiky headphones,declarative,medium,,,6,58,1
its over were back,declarative,medium,,,6,58,1
in case of fire,declarative,medium,,,6,57,1
his ass is not a software engineer,declarative,medium,,,6,56,1
it takes a little treat to tame a beast,declarative,long,,,6,55,1
knit cat ear balaclava,declarative,medium,,,6,55,1
person who keeps gambling,declarative,medium,,,6,55,1
something about us moon,declarative,medium,,,6,54,1
missing no and jellyfish uap,declarative,medium,,,6,53,1
