phrase,field,count
buttons,eyes,235
nikolai fechin glasses,eyes,225
sleppy,eyes,224
spiky shades,eyes,224
crying,eyes,222
flail,right_hand,220
pixelady star,eyes,220
white swirl,eyes,218
scarlet eyes,eyes,216
3 eye,eyes,216
wao wao,eyes,215
dead,eyes,212
pixel cry,eyes,211
red tears$19PNG,eyes,210
cartoon,eyes,207
beat n bruised,eyes,207
silver hand shades,eyes,206
beauty,eyes,206
astro boy,eyes,203
gonna die,eyes,203
mangekyo sharingan left bleed,eyes,203
bored,eyes,200
mimany nutmugs_,eyes,198
ghost angry,eyes,198
venom,eyes,197
angry,eyes,197
miller batman eyes,eyes,197
seethe,eyes,196
zerpy,eyes,195
ghaslty,eyes,194
sketch,eyes,192
geek,eyes,192
lax,eyes,190
bloodshot tv hearts,eyes,190
heart eyes,eyes,190
mad,eyes,189
jokermad,eyes,187
squinting,eyes,187
mangekyo sharingan right bleed,eyes,186
blue tears,eyes,185
sanic,eyes,185
deflated,eyes,184
anime blush,eyes,183
dratini high,eyes,180
kid buu,eyes,178
spiral,eyes,176
fang red,eyes,176
mew wink,eyes,175
blazed,eyes,174
gengar,eyes,174
moneys,eyes,172
side smile,mouth,138
tiger,mouth,137
junko wojak,mouth,134
wet,cloth,132
fang,mouth,131
ghastly,mouth,131
bloody smile,mouth,130
lego joker,mouth,129
cigs,mouth,129
silly,mouth,128
greed,mouth,128
piss stained goblin shirt,cloth,127
drained,mouth,127
milady happy,mouth,127
wide smile,mouth,126
zombie zip up,cloth,125
biting lip,mouth,124
seethe,mouth,124
murakami,mouth,124
evil pepe with cigar,mouth,124
skull,mouth,124
candy bape hoodie,cloth,123
ornate jacket,cloth,123
kill you red puffer,cloth,122
shiny grill,mouth,122
go go ackman,mouth,122
winter jacket,cloth,122
creepypasta,mouth,122
rodman jersey,cloth,122
braces,mouth,122
griffith smile,mouth,121
general with gun,cloth,121
poofy white tee,cloth,120
demonbat,mouth,119
sanic,mouth,119
spider,mouth,119
tongue,mouth,119
towel,cloth,119
zombie,mouth,119
jean jacket,cloth,118
teeth,mouth,118
mimany cig,mouth,117
girls heart my swag,cloth,117
smile,mouth,117
maroon jersey,cloth,117
grit,mouth,117
